year,location,deaths
1989,AF,5411
1989,AO,2873
1989,BD,81
1989,CD,28
1989,CN,2600
1989,CO,384
1989,DE,3
1989,DJ,6
1989,ES,17
1989,ET,25394
1989,GB,41
1989,GT,491
1989,HT,48
1989,ID,6
1989,IL,93
1989,IN,1850
1989,IQ,50
1989,JM,1
1989,KE,63
1989,KH,814
1989,KM,29
1989,LA,30
1989,LB,1097
1989,LK,1288
1989,LR,45
1989,MA,207
1989,MM,1024
1989,MR,127
1989,MX,3
1989,MZ,1552
1989,NE,170
1989,NI,526
1989,PA,920
1989,PE,1945
1989,PG,14
1989,PH,984
1989,PK,114
1989,PY,150
1989,RO,448
1989,RU,160
1989,SD,7515
1989,SN,121
1989,SO,1061
1989,SV,4925
1989,SZ,2
1989,TD,220
1989,TH,203
1989,TR,301
1989,UG,1057
1989,VE,61
1989,ZA,284
1989,ZM,14
1989,ZW,18
1990,AF,1514
1990,AO,2609
1990,BD,94
1990,BI,7
1990,BW,1
1990,CD,147
1990,CI,8
1990,CM,6
1990,CN,22
1990,CO,712
1990,DE,1
1990,DJ,60
1990,DZ,1
1990,EG,4
1990,ES,19
1990,ET,49856
1990,GB,47
1990,GT,681
1990,HT,2
1990,ID,200
1990,IL,43
1990,IN,4732
1990,IQ,117
1990,IR,31
1990,KE,7
1990,KH,377
1990,KW,1329
1990,LA,255
1990,LB,1903
1990,LK,4840
1990,LR,3729
1990,ML,328
1990,MM,779
1990,MR,30
1990,MX,4
1990,MZ,1759
1990,NE,200
1990,NG,89
1990,NI,39
1990,NL,2
1990,NP,14
1990,PE,1228
1990,PG,61
1990,PH,1352
1990,PK,385
1990,RU,393
1990,RW,2644
1990,SD,5335
1990,SN,84
1990,SO,2700
1990,SV,848
1990,TD,686
1990,TH,20
1990,TR,312
1990,TT,39
1990,UG,809
1990,VE,64
1990,ZA,1459
1990,ZM,32
1990,ZW,14
1991,AF,3553
1991,AO,526
1991,AZ,35
1991,BD,107
1991,BI,278
1991,CD,32
1991,CM,50
1991,CO,872
1991,DJ,74
1991,DZ,34
1991,ES,44
1991,ET,12442
1991,GB,38
1991,GE,52
1991,GH,30
1991,GT,426
1991,HT,270
1991,ID,426
1991,IL,47
1991,IN,3720
1991,IQ,23678
1991,IR,44
1991,KE,17
1991,KH,322
1991,KW,460
1991,LB,68
1991,LK,6646
1991,LR,578
1991,MA,19
1991,ML,188
1991,MM,1361
1991,MZ,1914
1991,NE,40
1991,NG,380
1991,NP,2
1991,PE,1353
1991,PG,29
1991,PH,1549
1991,PK,61
1991,RS,3295
1991,RU,340
1991,RW,1102
1991,SA,91
1991,SD,4565
1991,SL,1225
1991,SN,16
1991,SO,8455
1991,SV,88
1991,TD,95
1991,TG,63
1991,TH,2
1991,TR,395
1991,UG,1018
1991,VE,30
1991,ZA,747
1992,AF,4385
1992,AM,85
1992,AO,2328
1992,AZ,2243
1992,BA,7629
1992,BD,225
1992,BI,61
1992,CD,67
1992,CF,3
1992,CM,25
1992,CO,1500
1992,DE,4
1992,DJ,129
1992,DZ,274
1992,EG,13
1992,ES,23
1992,ET,1026
1992,GB,39
1992,GE,771
1992,GH,63
1992,GT,393
1992,GW,2
1992,HR,142
1992,ID,53
1992,IL,72
1992,IN,4161
1992,IQ,833
1992,IR,4
1992,JO,1
1992,KE,159
1992,KH,193
1992,LB,132
1992,LK,4444
1992,LR,453
1992,MD,585
1992,ML,77
1992,MM,1749
1992,MX,16
1992,MZ,521
1992,NE,29
1992,NG,943
1992,PE,1189
1992,PG,60
1992,PH,445
1992,PK,72
1992,RS,342
1992,RU,1
1992,RW,943
1992,SB,2
1992,SD,4314
1992,SL,531
1992,SN,135
1992,SO,4729
1992,SV,4
1992,TD,1197
1992,TG,5
1992,TJ,3859
1992,TR,1779
1992,TZ,1
1992,UG,76
1992,VE,223
1992,ZA,788
1993,AF,4105
1993,AM,37
1993,AO,12398
1993,AZ,1197
1993,BA,5812
1993,BD,43
1993,BI,5
1993,BR,42
1993,CD,3449
1993,CF,4
1993,CI,1
1993,CM,47
1993,CO,302
1993,DJ,33
1993,DZ,826
1993,EG,108
1993,ER,21
1993,ES,12
1993,ET,133
1993,GB,47
1993,GE,1837
1993,GH,2
1993,GT,218
1993,HR,373
1993,HT,37
1993,ID,27
1993,IL,88
1993,IN,2328
1993,IQ,366
1993,IR,153
1993,KE,287
1993,KH,484
1993,LA,3
1993,LB,163
1993,LK,2084
1993,LR,2673
1993,MM,143
1993,MX,34
1993,NE,6
1993,NG,1185
1993,NP,3
1993,PE,779
1993,PG,40
1993,PH,318
1993,PK,48
1993,RU,145
1993,RW,959
1993,SD,6042
1993,SL,642
1993,SN,285
1993,SO,483
1993,TD,313
1993,TG,48
1993,TH,1
1993,TJ,1045
1993,TR,2529
1993,VE,63
1993,ZA,908
1993,ZM,1
1994,AF,9056
1994,AM,30
1994,AO,4009
1994,AZ,1489
1994,BA,3137
1994,BD,32
1994,BI,56
1994,BR,29
1994,CA,3
1994,CD,348
1994,CI,4
1994,CM,102
1994,CO,1211
1994,DJ,39
1994,DZ,1943
1994,EG,162
1994,ES,11
1994,ET,76
1994,GB,16
1994,GH,2004
1994,GT,287
1994,HT,44
1994,ID,12
1994,IL,116
1994,IN,1439
1994,IQ,894
1994,IR,16
1994,JM,5
1994,KE,34
1994,KH,572
1994,LB,144
1994,LK,712
1994,LR,4167
1994,ML,729
1994,MM,783
1994,MX,153
1994,NE,50
1994,NG,90
1994,PE,369
1994,PG,26
1994,PH,308
1994,PK,139
1994,RU,485
1994,RW,501961
1994,SD,960
1994,SL,2097
1994,SO,626
1994,TD,526
1994,TH,1
1994,TJ,366
1994,TR,4076
1994,UG,160
1994,VE,163
1994,YE,1489
1994,ZA,538
1995,AF,5618
1995,AM,8
1995,AO,215
1995,AZ,54
1995,BA,9755
1995,BD,14
1995,BI,1547
1995,BR,51
1995,CA,24
1995,CD,525
1995,CI,37
1995,CO,943
1995,DJ,17
1995,DZ,3059
1995,EC,11
1995,EG,233
1995,ES,13
1995,ET,1043
1995,FR,8
1995,GE,52
1995,GH,155
1995,GT,122
1995,HR,963
1995,HT,1
1995,ID,62
1995,IL,77
1995,IN,1080
1995,IQ,1437
1995,IR,17
1995,KE,60
1995,KH,723
1995,LB,126
1995,LK,4971
1995,LR,2290
1995,ML,2
1995,MM,1496
1995,MX,22
1995,NE,67
1995,NG,1
1995,PE,274
1995,PG,33
1995,PH,188
1995,PK,127
1995,RU,1910
1995,RW,4141
1995,SD,1514
1995,SL,3194
1995,SN,330
1995,SO,444
1995,TD,53
1995,TH,12
1995,TJ,368
1995,TR,3112
1995,UG,537
1995,VE,28
1995,ZA,143
1995,ZW,4
1996,AF,3595
1996,AO,75
1996,AZ,5
1996,BD,46
1996,BI,2673
1996,BR,20
1996,CA,2
1996,CD,34531
1996,CI,5
1996,CM,56
1996,CO,1401
1996,DZ,1091
1996,EG,149
1996,ER,14
1996,ES,4
1996,ET,65
1996,GB,2
1996,GN,27
1996,GT,20
1996,ID,32
1996,IL,132
1996,IN,1330
1996,IQ,919
1996,IR,34
1996,KE,170
1996,KH,846
1996,KW,1
1996,LB,213
1996,LK,4097
1996,LR,3091
1996,MM,590
1996,MX,43
1996,NA,2
1996,NE,14
1996,NG,87
1996,NP,77
1996,PE,105
1996,PG,106
1996,PH,199
1996,PK,59
1996,RS,2
1996,RU,2764
1996,RW,309
1996,SD,2945
1996,SL,943
1996,SN,5
1996,SO,949
1996,TD,4
1996,TH,1
1996,TJ,2797
1996,TR,3300
1996,TZ,10
1996,UG,1765
1996,VE,33
1996,ZA,156
1997,AF,6721
1997,AO,95
1997,AZ,29
1997,BD,16
1997,BI,1573
1997,BR,33
1997,BT,4
1997,CA,2
1997,CD,24296
1997,CN,4
1997,CO,891
1997,DJ,11
1997,DZ,2008
1997,EG,143
1997,ER,31
1997,ES,12
1997,ET,12
1997,GB,5
1997,GE,26
1997,GT,2
1997,ID,441
1997,IL,25
1997,IN,1509
1997,IQ,2233
1997,IR,37
1997,KE,212
1997,KH,455
1997,KM,56
1997,LA,2
1997,LB,99
1997,LK,2902
1997,LR,13
1997,ML,22
1997,MM,788
1997,MX,58
1997,NE,81
1997,NG,585
1997,NP,48
1997,PE,116
1997,PG,12
1997,PH,322
1997,PK,78
1997,RS,9
1997,RU,13
1997,RW,4698
1997,SD,4872
1997,SL,1233
1997,SN,366
1997,SO,277
1997,TD,135
1997,TH,7
1997,TJ,97
1997,TR,2298
1997,TZ,10
1997,UG,1354
1997,VE,33
1997,ZA,30
1998,AF,12174
1998,AO,1200
1998,AZ,34
1998,BD,21
1998,BI,1398
1998,BO,2
1998,BR,13
1998,CA,27
1998,CD,11782
1998,CM,52
1998,CO,1646
1998,DJ,16
1998,DZ,3304
1998,EG,29
1998,ER,792
1998,ES,7
1998,ET,1024
1998,GB,31
1998,GE,38
1998,GN,12
1998,GT,1
1998,GW,505
1998,ID,95
1998,IL,6
1998,IN,1554
1998,IQ,79
1998,IR,13
1998,KE,322
1998,KH,274
1998,KM,40
1998,LB,85
1998,LK,3830
1998,LR,13
1998,LS,68
1998,MM,581
1998,MX,7
1998,NE,147
1998,NG,338
1998,NP,357
1998,PE,33
1998,PH,138
1998,PK,69
1998,RS,1446
1998,RU,7
1998,RW,1737
1998,SD,5758
1998,SL,5155
1998,SN,344
1998,SO,330
1998,TD,195
1998,TG,9
1998,TH,12
1998,TJ,600
1998,TR,1943
1998,UG,1220
1998,VE,10
1998,ZA,44
1998,ZW,1
1999,AF,5065
1999,AL,6
1999,AO,2665
1999,AZ,18
1999,BD,14
1999,BI,1012
1999,BR,59
1999,CA,11
1999,CD,8514
1999,CF,5
1999,CO,2093
1999,DJ,25
1999,DZ,1153
1999,EG,4
1999,ER,17203
1999,ET,30786
1999,GN,13
1999,GW,199
1999,HN,9
1999,HT,11
1999,ID,1805
1999,IL,2
1999,IN,2547
1999,IQ,307
1999,IR,19
1999,KE,194
1999,KG,14
1999,LA,2
1999,LB,74
1999,LK,1948
1999,LR,70
1999,MK,6
1999,ML,59
1999,MM,356
1999,NA,1
1999,NG,3518
1999,NP,295
1999,PE,89
1999,PG,60
1999,PH,219
1999,PK,25
1999,RS,2173
1999,RU,6197
1999,RW,29
1999,SD,2067
1999,SL,4593
1999,SN,31
1999,SO,542
1999,TD,394
1999,TH,1
1999,TJ,4
1999,TR,1155
1999,UG,1044
1999,UZ,50
1999,VE,26
1999,ZA,19
1999,ZW,1
2000,AF,5394
2000,AO,1206
2000,AZ,13
2000,BD,105
2000,BI,2071
2000,BO,50
2000,BR,33
2000,CA,23
2000,CD,3052
2000,CF,6
2000,CI,126
2000,CM,2
2000,CO,2028
2000,DZ,1178
2000,EG,5
2000,ER,1793
2000,ES,20
2000,ET,48666
2000,GB,1
2000,GH,30
2000,GN,256
2000,HN,6
2000,ID,916
2000,IL,108
2000,IN,3979
2000,IQ,185
2000,IR,40
2000,KE,254
2000,KG,174
2000,KH,4
2000,LA,7
2000,LB,55
2000,LK,2569
2000,LR,101
2000,MK,3
2000,MM,738
2000,NA,66
2000,NG,2104
2000,NP,365
2000,PE,5
2000,PG,13
2000,PH,1761
2000,PK,1
2000,RU,4333
2000,SD,3535
2000,SL,856
2000,SN,56
2000,SO,185
2000,TD,1070
2000,TH,8
2000,TJ,46
2000,TR,121
2000,UG,1229
2000,UZ,297
2000,VE,25
2000,ZM,1
2001,AF,5553
2001,AO,2154
2001,AZ,6
2001,BD,62
2001,BI,1253
2001,BR,74
2001,CA,1
2001,CD,1344
2001,CF,255
2001,CI,2
2001,CO,2357
2001,DZ,674
2001,EC,2
2001,ES,13
2001,ET,388
2001,GB,1
2001,GH,50
2001,GN,430
2001,GT,5
2001,ID,833
2001,IL,355
2001,IN,1716
2001,IQ,27
2001,IR,112
2001,JM,116
2001,KE,192
2001,LB,4
2001,LK,1162
2001,LR,481
2001,MK,72
2001,MM,384
2001,NG,2417
2001,NP,569
2001,PE,21
2001,PG,65
2001,PH,792
2001,PK,26
2001,RU,992
2001,RW,2044
2001,SD,3720
2001,SL,73
2001,SN,47
2001,SO,486
2001,TD,230
2001,TH,25
2001,TR,81
2001,TZ,37
2001,UG,212
2001,US,2986
2001,VE,27
2001,ZM,7
2002,AF,1157
2002,AO,578
2002,BD,6
2002,BI,1576
2002,BR,61
2002,CD,8111
2002,CF,152
2002,CI,998
2002,CO,3427
2002,DZ,1073
2002,ES,5
2002,ET,809
2002,GB,3
2002,GH,36
2002,GT,2
2002,HN,1
2002,ID,762
2002,IL,887
2002,IN,2899
2002,IQ,111
2002,JM,14
2002,KE,32
2002,LA,4
2002,LK,17
2002,LR,2259
2002,MG,79
2002,MM,542
2002,MX,26
2002,NA,5
2002,NG,612
2002,NP,4433
2002,PE,13
2002,PG,7
2002,PH,763
2002,PK,65
2002,RU,1509
2002,SD,3067
2002,SL,1
2002,SN,45
2002,SO,638
2002,TD,297
2002,TH,23
2002,TR,25
2002,UG,1319
2002,VE,27
2002,ZA,2
2003,AF,944
2003,AO,81
2003,BD,8
2003,BI,1245
2003,BR,43
2003,CD,3888
2003,CF,19
2003,CI,482
2003,CO,1190
2003,DZ,714
2003,EC,26
2003,ER,57
2003,ES,3
2003,ET,1093
2003,GB,1
2003,HN,47
2003,ID,1063
2003,IL,471
2003,IN,2256
2003,IQ,7999
2003,IR,2
2003,JM,8
2003,KE,7
2003,KH,1
2003,LA,5
2003,LB,1
2003,LK,33
2003,LR,3281
2003,MA,46
2003,MM,256
2003,NG,445
2003,NP,1732
2003,PE,13
2003,PH,1119
2003,PK,241
2003,RU,539
2003,SA,26
2003,SD,5107
2003,SN,39
2003,SO,426
2003,TD,37
2003,TH,26
2003,TR,79
2003,UG,1627
2003,VE,25
2003,YE,6
2004,AF,817
2004,AO,49
2004,AZ,8
2004,BD,51
2004,BI,679
2004,BR,86
2004,CD,815
2004,CF,23
2004,CI,262
2004,CM,9
2004,CO,1781
2004,DZ,500
2004,EG,35
2004,ES,191
2004,ET,475
2004,GB,1
2004,GE,27
2004,GT,1
2004,HN,30
2004,HT,231
2004,ID,1062
2004,IL,514
2004,IN,1767
2004,IQ,4365
2004,KE,20
2004,LA,4
2004,LK,84
2004,ML,20
2004,MM,177
2004,MX,220
2004,MZ,1
2004,NE,4
2004,NG,2095
2004,NP,2456
2004,PE,3
2004,PH,470
2004,PK,430
2004,RU,1317
2004,RW,16
2004,SA,91
2004,SD,7393
2004,SN,3
2004,SO,670
2004,TD,78
2004,TH,310
2004,TR,193
2004,UG,2009
2004,UZ,37
2004,VE,31
2004,YE,28
2005,AF,1711
2005,AM,1
2005,AO,11
2005,AZ,24
2005,BD,80
2005,BI,378
2005,BR,54
2005,CD,298
2005,CF,8
2005,CI,137
2005,CN,12
2005,CO,1702
2005,DZ,232
2005,EG,124
2005,ET,290
2005,GB,53
2005,GN,3
2005,GT,58
2005,HT,40
2005,ID,242
2005,IL,211
2005,IN,2016
2005,IQ,3521
2005,IR,29
2005,JO,59
2005,KE,215
2005,LB,3
2005,LK,130
2005,ML,12
2005,MM,447
2005,MX,187
2005,MZ,12
2005,NG,251
2005,NP,1399
2005,PH,487
2005,PK,153
2005,RU,674
2005,SA,31
2005,SD,1484
2005,SN,1
2005,SO,309
2005,TD,267
2005,TG,436
2005,TH,494
2005,TJ,1
2005,TR,365
2005,UG,922
2005,VE,30
2006,AF,4982
2006,AM,2
2006,AZ,5
2006,BD,95
2006,BI,185
2006,BR,22
2006,CD,387
2006,CF,179
2006,CI,11
2006,CO,588
2006,DZ,292
2006,EG,2
2006,ET,430
2006,GN,15
2006,ID,3
2006,IL,664
2006,IN,2158
2006,IQ,4609
2006,IR,52
2006,KE,219
2006,KG,6
2006,LA,73
2006,LB,747
2006,LK,2173
2006,MM,452
2006,MX,686
2006,NG,225
2006,NP,566
2006,PE,11
2006,PH,434
2006,PK,427
2006,RU,260
2006,SA,11
2006,SD,2187
2006,SN,129
2006,SO,1174
2006,TD,1956
2006,TH,541
2006,TJ,8
2006,TR,224
2006,UG,334
2006,VE,22
2007,AF,7020
2007,AO,26
2007,AZ,12
2007,BD,18
2007,BI,79
2007,BR,40
2007,CD,905
2007,CF,144
2007,CI,4
2007,CO,362
2007,DZ,495
2007,ET,500
2007,FR,2
2007,GN,45
2007,GT,5
2007,ID,2
2007,IL,538
2007,IN,1725
2007,IQ,4489
2007,IR,72
2007,KE,186
2007,KH,2
2007,LK,2564
2007,ML,39
2007,MM,699
2007,MX,610
