,actor,year,intensity
0,AF,1978,1
1,AF,1979,1
2,AF,1980,1
3,AF,1981,1
4,AF,1982,1
5,AF,1983,1
6,AF,1984,1
7,AF,1985,1
8,AF,1986,1
9,AF,1987,1
10,AF,1988,1
11,AF,1989,1
12,AF,1990,1
13,AF,1991,1
14,AF,1992,1
15,AF,1993,1
16,AF,1994,1
17,AF,1995,1
18,AF,1996,1
19,AF,1997,1
20,AF,1998,1
21,AF,1999,1
22,AF,2000,1
23,AF,2001,2
24,AF,2005,1
25,AF,2006,1
26,AF,2007,1
27,AF,2008,1
28,AF,2009,1
29,AF,2010,1
30,AF,2011,1
31,AF,2012,1
32,AF,2013,1
33,AF,2014,1
34,AF,2015,1
35,AF,2016,2
36,AF,2017,2
37,AO,1961,1
38,AO,1962,1
39,AO,1975,1
40,AO,1976,1
41,AO,1977,1
42,AO,1978,1
43,AO,1979,1
44,AO,1980,1
45,AO,1981,1
46,AO,1982,1
47,AO,1983,1
48,AO,1984,1
49,AO,1985,1
50,AO,1986,1
51,AO,1987,1
52,AO,1988,1
53,AO,1989,1
54,AO,1990,1
55,AO,1992,1
56,AO,1993,1
57,AO,1994,1
58,AO,1998,1
59,AO,1999,1
60,AO,2000,1
61,AO,2001,1
62,AU,2003,1
63,AZ,1992,1
64,AZ,1993,1
65,AZ,1994,1
66,BA,1992,1
67,BA,1993,2
68,BA,1994,1
69,BA,1995,1
70,BI,2000,1
71,BI,2001,1
72,BI,2002,1
73,CD,1964,1
74,CD,1965,1
75,CD,1996,1
76,CD,1997,2
77,CD,1998,2
78,CD,1999,1
79,CD,2000,1
80,CD,2013,1
81,CD,2017,1
82,CM,1960,1
83,CN,1954,1
84,CN,1956,1
85,CN,1958,1
86,CN,1959,1
87,CN,1962,1
88,CN,1979,1
89,CO,1985,1
90,CO,1992,1
91,CO,1994,1
92,CO,1996,1
93,CO,1999,1
94,CO,2000,1
95,CO,2001,1
96,CO,2002,1
97,CO,2004,1
98,CO,2005,1
99,CU,1958,1
