Table 1
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;United Nations;;;;;;;;;
;;;;Population Division;;;;;;;;;
;;;;Department of Economic and Social Affairs;;;;;;;;;
;;;;;;;;;;;;;
Workbook: UN_MigrantStockByOriginAndDestination_2017;;;;;;;;;;;; ; 
;;;;ANNEX. Classification of countries and areas by major area and region;;;;;;;;;
;;;;;;;;;;;;;
;;;;December 2017 - Copyright © 2017 by United Nations. All rights reserved;;;;;;;;;
Suggested citation: United Nations, Department of Economic and Social Affairs. Population Division (2017). Trends in International Migrant Stock: The 2017 revision (United Nations database, POP/DB/MIG/Stock/Rev.2017).;;;;;;;;;;;;; 
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Index;Region, subregion, country or area;Notes;Code;More Developed Regions;Less Developed Regions;Least developed countries;High-income Countries;Middle-income Countries;Upper-middle-income Countries;Lower-middle-income Countries;Low-income Countries;Sub-Saharan Africa;
1;WORLD;;900;;;;;;;;;;
2;More developed regions;b;901;;;;;;;;;;
3;Less developed regions;c;902;;;;;;;;;;
4;Least developed countries;d;941;;;;;;;;;;
5;Less developed regions, excluding least developed countries;;934;;;;;;;;;;
6;High-income countries;e;1503;;;;;;;;;;
7;Middle-income countries;e;1517;;;;;;;;;;
8;Upper-middle-income countries;e;1502;;;;;;;;;;
9;Lower-middle-income countries;e;1501;;;;;;;;;;
10;Low-income countries;e;1500;;;;;;;;;;
11;Sub-Saharan Africa;f;947;;;;;;;;;;
12;AFRICA;;903;;;;;;;;;;
13;Eastern Africa;;910;;;;;;;;;;
14;Burundi;;108;N;Y;Y;N;N;N;N;Y;Y;
15;Comoros;;174;N;Y;Y;N;N;N;N;Y;Y;
16;Djibouti;;262;N;Y;Y;N;Y;N;Y;N;Y;
17;Eritrea;;232;N;Y;Y;N;N;N;N;Y;Y;
18;Ethiopia;;231;N;Y;Y;N;N;N;N;Y;Y;
19;Kenya;;404;N;Y;N;N;Y;N;Y;N;Y;
20;Madagascar;;450;N;Y;Y;N;N;N;N;Y;Y;
21;Malawi;;454;N;Y;Y;N;N;N;N;Y;Y;
22;Mauritius;1;480;N;Y;N;N;Y;Y;N;N;Y;
23;Mayotte;;175;N;Y;N;N/A;N/A;N/A;N/A;N/A;Y;
24;Mozambique;;508;N;Y;Y;N;N;N;N;Y;Y;
